Student ID,student_name,gender,grade,school_name,reading_score,math_score
93,Isaiah Maldonado,M,10th,Huang High School,84,91
94,Micheal Dennis,M,12th,Huang High School,86,61
95,Kevin Martinez,M,11th,Huang High School,89,58
96,Jessica Smith,F,9th,Huang High School,77,72
97,Dawn Trujillo,F,11th,Huang High School,82,87
98,Virginia Ramirez MD,F,10th,Huang High School,99,89
99,Marc Hernandez,M,10th,Huang High School,87,63
100,Jose Gonzalez,M,12th,Huang High School,69,67
101,Jason Dennis,M,10th,Huang High School,72,57
102,Gary Morris,M,11th,Huang High School,74,58
103,William Mcdonald,M,12th,Huang High School,86,74
104,Michael Savage,M,9th,Huang High School,75,66
105,Alexis Todd,F,11th,Huang High School,82,95
106,David Hansen,M,10th,Huang High School,76,86
107,Steven Mendez,M,12th,Huang High School,68,88
108,Ryan Lynch,M,12th,Huang High School,77,67
109,Timothy Marks,M,9th,Huang High School,78,62
110,Alexander Johns,M,10th,Huang High School,67,77
111,Kenneth Chavez,M,9th,Huang High School,70,79
112,Dennis Williams,M,10th,Huang High School,88,67
113,Michael Roy,M,12th,Huang High School,85,73
114,Richard Ryan,M,12th,Huang High School,88,86
115,Matthew Reyes,M,12th,Huang High School,79,60
116,Stephanie Ward,F,11th,Huang High School,75,69
117,Christopher Tucker,M,10th,Huang High School,80,90
118,Daniel Jones,M,12th,Huang High School,66,68
119,Devin Craig,M,10th,Huang High School,65,80
120,Erin Prince,F,12th,Huang High School,88,81
121,Bernard Ortiz,M,11th,Huang High School,78,76
122,Nicole Miller,F,10th,Huang High School,98,57
123,Christopher Fritz,M,9th,Huang High School,88,77
124,Bonnie Mckinney,F,11th,Huang High School,63,65
125,Troy Nelson,M,11th,Huang High School,79,63
126,Jennifer Lee,F,12th,Huang High School,93,66
127,Ronald Ward,M,10th,Huang High School,74,89
128,Nathaniel Hampton,M,11th,Huang High School,70,81
129,Michael Travis,M,11th,Huang High School,65,79
130,James Taylor,M,9th,Huang High School,77,71
131,Thomas Strickland,M,9th,Huang High School,63,77
132,Brittany Jackson,F,9th,Huang High School,79,57
133,Marisa Lowe,F,9th,Huang High School,95,95
134,Nicole Thomas,F,9th,Huang High School,83,59
135,Matthew Rodriguez,M,12th,Huang High School,80,79
136,Kent Fernandez,M,12th,Huang High School,66,58
137,Michelle Martin,F,12th,Huang High School,86,92
138,John Sparks,M,9th,Huang High School,74,91
139,Ann Blake,F,11th,Huang High School,97,75
140,Melissa Miller,F,12th,Huang High School,76,67
141,Steven Houston,M,9th,Huang High School,99,71
142,Kristen Anderson,F,11th,Huang High School,78,76
143,Cory Jones,M,11th,Huang High School,82,73
144,Jennifer Mora,F,10th,Huang High School,98,73
145,Dennis Griffin,M,9th,Huang High School,78,71
146,Darryl Brown,M,10th,Huang High School,98,90
147,Martin Mosley,M,10th,Huang High School,90,67
148,Joyce Diaz,F,10th,Huang High School,85,58
149,Jeffrey Rose,M,12th,Huang High School,81,91
150,Jamie Moreno,F,9th,Huang High School,78,99
151,Catherine Williams,F,9th,Huang High School,66,56
152,Lauren Byrd,F,11th,Huang High School,66,92
153,Vanessa Frazier,F,10th,Huang High School,85,82
154,Stephen Bryant,M,11th,Huang High School,83,77
155,Lawrence Liu,M,12th,Huang High School,82,73
156,Joseph Larsen,M,9th,Huang High School,88,82
157,Susan Collier,F,11th,Huang High School,76,92
158,Meagan Jensen,F,9th,Huang High School,66,67
159,Julie Harper,F,12th,Huang High School,88,73
160,Meghan Carroll,F,12th,Huang High School,75,98
161,Wanda Horton,F,11th,Huang High School,68,88
162,Mary Campbell,F,10th,Huang High School,72,56
163,Jennifer Rodgers,F,11th,Huang High School,83,98
164,Heather Cooper,F,12th,Huang High School,85,61
165,Ryan Perez,M,11th,Huang High School,70,87
166,Ryan Cox,M,12th,Huang High School,95,72
167,Darren Zavala,M,10th,Huang High School,64,84
168,Joseph Morales III,M,10th,Huang High School,64,85
169,Aaron West,M,10th,Huang High School,98,67
170,James Combs,M,10th,Huang High School,65,82
171,Curtis Garner,M,10th,Huang High School,79,78
172,Sarah Miller,F,10th,Huang High School,94,71
173,Samantha Thomas,F,10th,Huang High School,92,62
174,Robert Atkins,M,9th,Huang High School,85,97
175,Alexis Crawford,M,10th,Huang High School,70,82
176,Ryan Maddox,M,11th,Huang High School,80,80
177,Jonathan Meyer,M,9th,Huang High School,65,79
178,Donna Wagner,F,10th,Huang High School,95,61
179,William Kennedy,M,11th,Huang High School,76,56
180,Kimberly Martinez,F,11th,Huang High School,84,83
181,Matthew Anderson,M,11th,Huang High School,92,99
182,Kari Miller,F,9th,Huang High School,88,55
183,Jenna Luna,F,9th,Huang High School,73,91
184,Justin Contreras,M,12th,Huang High School,89,63
185,Mary Fox,F,11th,Huang High School,94,92
186,Joseph Perkins,M,10th,Huang High School,96,76
187,Kelly Phillips,F,12th,Huang High School,78,90
188,Justin Thornton,M,11th,Huang High School,65,61
189,Joshua Barber,M,10th,Huang High School,77,61
190,Travis Jackson,M,11th,Huang High School,86,96
191,Jordan Beasley,F,10th,Huang High School,96,59
192,Kevin Allen,M,12th,Huang High School,68,63
193,Victoria Harris,F,11th,Huang High School,89,59
194,Victoria Joseph,F,12th,Huang High School,72,56
195,Brandy Marshall,F,11th,Huang High School,86,60
196,Ryan Jimenez,M,11th,Huang High School,63,89
197,Michael Chan,M,9th,Huang High School,63,69
198,Christopher Phillips,M,9th,Huang High School,86,55
199,Kevin Murphy,M,10th,Huang High School,85,99
200,Vanessa Harper,F,12th,Huang High School,85,85
201,James Ferguson,M,9th,Huang High School,96,66
202,Carol Schroeder,F,12th,Huang High School,83,61
203,Jerry Phillips,M,10th,Huang High School,82,72
204,Kristin Wade,F,9th,Huang High School,71,56
205,Jessica Warner,F,11th,Huang High School,94,83
206,Dorothy Burke,F,11th,Huang High School,91,92
207,Bethany Walter,F,9th,Huang High School,88,76
208,Melissa Avery,F,9th,Huang High School,83,86
209,Daniel Sutton,M,11th,Huang High School,86,96
210,Ryan Johnson,M,9th,Huang High School,63,79
211,Timothy Quinn,M,10th,Huang High School,83,76
212,Zachary Allen,M,10th,Huang High School,64,87
213,Lauren Schmitt,F,12th,Huang High School,71,61
214,Stephanie Armstrong,F,11th,Huang High School,70,66
215,Ruben Rivera,M,9th,Huang High School,65,79
216,Patricia Petty,F,12th,Huang High School,79,98
217,Joseph Jacobs,M,11th,Huang High School,96,68
218,Bianca Wilson,F,11th,Huang High School,66,62
219,Donald Perez,M,9th,Huang High School,87,79
220,Curtis Gomez,M,9th,Huang High School,77,77
221,Courtney Brown,F,9th,Huang High School,90,88
222,Nicole Randall,F,9th,Huang High School,94,78
223,Steven Lambert,M,11th,Huang High School,64,56
224,Anthony Alvarez,M,10th,Huang High School,93,90
225,Shawn Farrell,M,10th,Huang High School,89,87
226,Jesus Schmidt,M,9th,Huang High School,80,76
227,Laura Wright,F,12th,Huang High School,89,69
228,Steven Smith,M,11th,Huang High School,66,65
229,Norman Thompson,M,9th,Huang High School,99,78
230,Anthony Wright,M,10th,Huang High School,76,64
231,Kayla Watts,F,11th,Huang High School,74,89
232,Aimee Johnson,F,9th,Huang High School,97,55
233,Heidi Scott,F,12th,Huang High School,77,98
234,Anthony Williams,M,10th,Huang High School,78,93
235,Sarah Hill,F,12th,Huang High School,88,97
236,Kim Wang,F,9th,Huang High School,90,71
237,Beth Manning,F,11th,Huang High School,88,92
238,Ryan Hanson,M,12th,Huang High School,87,83
239,James Wood,M,9th,Huang High School,70,81
240,Corey Greene,M,10th,Huang High School,70,94
241,John Carter,M,11th,Huang High School,95,83
242,Beth Garza,F,11th,Huang High School,75,92
243,Karen Jones,F,9th,Huang High School,78,96
244,Stephanie Poole,F,10th,Huang High School,95,59
245,Lisa Brown,F,9th,Huang High School,99,72
246,Paul Scott,M,10th,Huang High School,64,78
247,Evelyn Buck,F,10th,Huang High School,68,60
248,Terry Harrell,M,9th,Huang High School,86,69
249,Leah Skinner,F,11th,Huang High School,70,79
250,Anthony Mercado,M,11th,Huang High School,95,97
251,Walter Kelly,M,9th,Huang High School,80,78
252,Lori Evans,F,10th,Huang High School,99,66
253,Ashley Jones,F,12th,Huang High School,96,72
254,Amber Soto,F,9th,Huang High School,82,60
255,Patrick Phillips,M,10th,Huang High School,64,62
256,Linda Curry,F,11th,Huang High School,74,76
257,Alexander Obrien,M,10th,Huang High School,68,90
258,Vincent Garza,M,10th,Huang High School,97,61
259,Terry Marsh,M,11th,Huang High School,99,69
260,Angela Perkins DVM,F,11th,Huang High School,76,56
261,Peter Hampton,M,9th,Huang High School,83,97
262,David Cross,M,11th,Huang High School,68,61
263,Clinton Ortega,M,10th,Huang High School,93,62
264,Jamie Escobar,F,10th,Huang High School,91,91
265,Sandra Mason,F,12th,Huang High School,76,83
266,Craig Cole,M,12th,Huang High School,83,92
267,Lisa Warren,F,12th,Huang High School,70,81
268,Maria Howard,F,9th,Huang High School,74,91
269,Michael Porter,M,11th,Huang High School,86,68
270,John Turner,M,11th,Huang High School,78,99
271,Timothy Wang,M,12th,Huang High School,93,75
272,Amanda Taylor,F,9th,Huang High School,73,58
273,Karen Mckenzie,F,9th,Huang High School,82,64
274,Brandon Miles,M,11th,Huang High School,98,76
275,Christina Whitaker,F,12th,Huang High School,86,89
276,Nicole Peterson,F,9th,Huang High School,78,98
277,Ashley Moore,F,9th,Huang High School,67,74
278,Todd Carrillo,M,10th,Huang High School,80,99
279,Robert Williams,M,10th,Huang High School,63,68
280,Ashley Jones,F,9th,Huang High School,92,72
281,Vanessa Parker,F,9th,Huang High School,67,78
282,Robert Carlson,M,12th,Huang High School,73,82
283,Jared Lewis,M,10th,Huang High School,77,56
284,Christopher Hernandez,M,10th,Huang High School,92,64
285,Kimberly Harris,F,9th,Huang High School,66,59
286,Katrina Hill,F,10th,Huang High School,73,73
287,Heather Lee,F,9th,Huang High School,71,69
288,Donald Harmon,M,11th,Huang High School,63,67
289,Elizabeth Sanders,F,10th,Huang High School,82,64
290,Richard Ramsey,M,12th,Huang High School,80,60
291,Carmen Johnson,F,12th,Huang High School,89,79
292,Elaine Osborne,F,10th,Huang High School,91,69
293,Kent Burns,M,9th,Huang High School,81,72
294,Meagan Smith,F,11th,Huang High School,67,87
295,Craig Hahn,M,9th,Huang High School,92,73
296,Jeremy Wu,M,11th,Huang High School,72,81
297,Aaron Rodriguez,M,11th,Huang High School,75,78
298,Matthew Taylor,M,10th,Huang High School,64,63
299,Diana Evans,F,11th,Huang High School,96,94
300,Michele Pearson,F,12th,Huang High School,89,98
301,Erik Wagner,M,12th,Huang High School,92,61
302,Maria Welch,F,12th,Huang High School,74,97
303,Debra Martin,F,12th,Huang High School,68,55
304,Devon Conner,M,9th,Huang High School,91,89
305,Christine Patel,F,9th,Huang High School,99,94
306,David Lopez,M,9th,Huang High School,95,95
307,Nathan Baird,M,11th,Huang High School,68,59
308,Samuel Castillo,M,11th,Huang High School,98,57
309,Rebecca Payne,F,11th,Huang High School,77,66
310,Carl Johnson,M,10th,Huang High School,64,95
311,William Adams,M,12th,Huang High School,85,82
312,Paula Harrison,F,11th,Huang High School,81,91
313,Wayne Atkinson,M,11th,Huang High School,86,63
314,Lindsay Frank,F,9th,Huang High School,92,66
315,Jose Garcia,M,10th,Huang High School,67,84
316,Andrew Gaines,M,12th,Huang High School,68,87
317,Rachael Liu,F,10th,Huang High School,77,79
318,Donald Lewis,M,11th,Huang High School,72,72
319,Shane Edwards,M,9th,Huang High School,74,59
320,Todd Levy,M,12th,Huang High School,91,94
321,Joanna Moore,F,10th,Huang High School,84,66
322,Michael Lewis,M,9th,Huang High School,98,90
323,James Robinson,M,9th,Huang High School,91,60
324,Jeffrey Arellano,M,9th,Huang High School,89,87
325,Heather Allen MD,F,11th,Huang High School,96,94
326,Lori Villarreal,F,9th,Huang High School,66,81
327,Robert Harper,M,12th,Huang High School,78,85
328,Karen Villegas,F,9th,Huang High School,76,57
329,Tracey Crane,F,9th,Huang High School,77,97
330,Elizabeth Allen,F,9th,Huang High School,73,77
331,Jorge Lynn,M,11th,Huang High School,93,66
332,Harold Gordon,M,11th,Huang High School,98,66
333,Nicholas Mcclain,M,9th,Huang High School,76,90
334,Tanya Harris,F,11th,Huang High School,85,86
335,Amy Smith,F,12th,Huang High School,93,93
336,Kathy Morse,F,11th,Huang High School,64,91
337,Andrea Wood,F,10th,Huang High School,77,70
338,Maureen Massey,F,9th,Huang High School,98,76
339,Daniel Smith,M,11th,Huang High School,66,81
340,Alexandra Smith,F,11th,Huang High School,78,77
341,Caitlin Hall,F,11th,Huang High School,72,58
342,Jose Carlson,M,11th,Huang High School,90,91
343,Deborah Macias,F,9th,Huang High School,90,87
344,Dwayne Rice,M,11th,Huang High School,99,78
345,Matthew Harris,M,10th,Huang High School,69,80
346,Eric Bowman,M,9th,Huang High School,80,94
347,Samuel Ali,M,9th,Huang High School,66,91
348,David Miller,M,12th,Huang High School,70,92
349,James Moreno,M,11th,Huang High School,89,63
350,Brooke Austin,F,11th,Huang High School,78,98
351,Alisha Martin,F,10th,Huang High School,65,68
352,Neil Rodriguez,M,10th,Huang High School,98,69
353,Gary Williams,M,10th,Huang High School,73,56
354,Michael Pittman,M,12th,Huang High School,89,60
355,Stephanie Palmer,F,10th,Huang High School,85,91
356,Christine Perry,F,11th,Huang High School,92,97
357,Suzanne David,F,10th,Huang High School,83,62
358,Amber Smith,F,12th,Huang High School,82,75
359,Ryan Jones,M,9th,Huang High School,94,62
360,Emily Ford,F,9th,Huang High School,79,61
361,Kelsey Shea,F,12th,Huang High School,85,66
362,Katherine Wallace,F,12th,Huang High School,65,56
363,Erica Conway,F,11th,Huang High School,79,72
364,Tyler Parker,M,11th,Huang High School,88,56
365,Michael Parks,M,9th,Huang High School,93,58
366,Elizabeth Hunt,F,12th,Huang High School,91,58
367,Grant Jackson,M,11th,Huang High School,78,61
368,Daniel Matthews,M,9th,Huang High School,78,78
369,Diana Silva,F,9th,Huang High School,69,82
370,Frank Garza,M,11th,Huang High School,84,95
371,Terri Fischer,F,10th,Huang High School,68,55
372,Robert Goodwin,M,12th,Huang High School,95,92
373,Bobby Ruiz,M,10th,Huang High School,65,97
374,Stephanie Taylor,F,12th,Huang High School,75,97
375,Erin Hill,F,10th,Huang High School,68,98
376,Erin Cohen,F,10th,Huang High School,71,74
377,Jeffrey Morris,M,9th,Huang High School,84,57
378,Elizabeth Simpson,F,10th,Huang High School,97,63
379,Jennifer Davis,F,11th,Huang High School,96,68
380,Rachel Burton,F,9th,Huang High School,75,75
381,Joseph Wilkins,M,9th,Huang High School,66,95
382,Lawrence Montgomery,M,11th,Huang High School,87,70
383,Patricia Howard,F,11th,Huang High School,70,65
384,Jessica Hanson,F,11th,Huang High School,84,55
385,Donna Dean,F,10th,Huang High School,98,77
386,Edwin Reid,M,9th,Huang High School,69,57
387,Jodi Brown,F,12th,Huang High School,70,85
388,Elizabeth Richard,F,9th,Huang High School,90,88
389,Aaron Martinez,M,9th,Huang High School,85,72
390,Stephen Fischer,M,9th,Huang High School,81,88
391,Diana Reeves,F,11th,Huang High School,86,83
392,Jeffrey Eaton,M,10th,Huang High School,99,90
393,Evelyn Miller,F,9th,Huang High School,65,71
394,Christopher Kidd,M,9th,Huang High School,97,55
395,Sarah Adams,F,9th,Huang High School,91,62
396,Melinda Nelson,F,12th,Huang High School,75,82
397,Kevin Brooks,M,11th,Huang High School,78,72
398,John Bowen,M,12th,Huang High School,77,56
399,Tracie Abbott,F,12th,Huang High School,72,69
400,Allen Foster,M,11th,Huang High School,93,65
401,Kathryn Elliott,F,12th,Huang High School,63,91
402,Christopher Walker,M,12th,Huang High School,94,66
403,Cynthia Martin,F,11th,Huang High School,67,59
404,Amanda Bennett,F,11th,Huang High School,88,97
405,Dennis Padilla,M,11th,Huang High School,92,93
406,Antonio Miller,M,11th,Huang High School,63,63
407,Melissa Trevino,F,11th,Huang High School,71,56
408,Andrew King,M,10th,Huang High School,99,80
409,John Martinez,M,11th,Huang High School,68,76
410,Lauren King,F,9th,Huang High School,74,82
411,Stephanie Mercado,F,9th,Huang High School,93,98
412,William Smith,M,11th,Huang High School,69,94
413,Jonathan Marshall,M,12th,Huang High School,86,72
414,Luke Lowery MD,M,10th,Huang High School,93,82
415,Emily Reynolds,F,9th,Huang High School,88,99
416,Kevin Mclean,M,9th,Huang High School,86,80
417,Elizabeth Taylor,F,11th,Huang High School,97,84
418,Pamela Rivas,F,11th,Huang High School,84,58
419,Tammy Martin,F,9th,Huang High School,84,64
420,Holly Watkins,F,9th,Huang High School,81,74
421,Patrick Chen,M,9th,Huang High School,67,79
422,Michelle Griffin,F,10th,Huang High School,85,81
423,Theresa Andrews,F,12th,Huang High School,65,58
424,Alan Henry,M,9th,Huang High School,63,81
425,Dr. Larry Hines,M,10th,Huang High School,91,59
426,Travis Frazier,M,12th,Huang High School,75,68
427,Julie Jones,F,12th,Huang High School,74,68
428,Natalie Reynolds,F,10th,Huang High School,77,70
429,Jessica Cohen,F,10th,Huang High School,69,98
430,Jason Robinson,M,12th,Huang High School,69,95
431,Heather Palmer,F,9th,Huang High School,78,57
432,Emily Cardenas MD,F,10th,Huang High School,77,87
433,Scott Glover,M,12th,Huang High School,65,92
434,Jacqueline White,F,12th,Huang High School,68,67
435,Mrs. Elizabeth Espinoza DDS,F,9th,Huang High School,76,75
436,Toni Porter,F,11th,Huang High School,92,72
437,Jennifer Mejia,F,11th,Huang High School,90,59
438,Brenda Peterson,F,10th,Huang High School,75,78
439,Paul Hamilton,M,9th,Huang High School,73,72
440,Patricia Nguyen,F,11th,Huang High School,83,56
441,James Ho,M,12th,Huang High School,86,61
442,Elizabeth Cohen,F,10th,Huang High School,97,61
443,Stephanie Lane,F,9th,Huang High School,70,57
444,Dawn Rhodes,F,12th,Huang High School,67,66
445,Theresa Robinson,F,10th,Huang High School,63,65
446,Breanna Mosley,F,9th,Huang High School,85,79
447,Carmen Wilson,F,10th,Huang High School,69,92
448,Ian Brown,M,9th,Huang High School,77,71
449,Kathleen Matthews,F,11th,Huang High School,96,60
450,Bryan Diaz,M,11th,Huang High School,64,84
451,Gina Sweeney,F,11th,Huang High School,81,59
452,Alan Garcia,M,10th,Huang High School,88,60
453,Erik Wheeler,M,10th,Huang High School,94,58
454,Stephanie Robles,F,9th,Huang High School,83,95
455,Samantha Hanson,F,9th,Huang High School,83,61
456,Christopher Williams,M,11th,Huang High School,89,83
457,Stephanie Hart,F,12th,Huang High School,94,63
458,Mrs. Lisa Becker,F,11th,Huang High School,84,68
459,Bianca Johnson,F,9th,Huang High School,92,68
460,Amy Steele,F,12th,Huang High School,67,63
461,Gina Contreras,F,9th,Huang High School,92,92
462,Jaime Alexander,F,10th,Huang High School,93,77
463,Kevin Coleman,M,12th,Huang High School,88,77
464,Caitlin Williams,F,10th,Huang High School,98,79
465,Joseph Lloyd,M,9th,Huang High School,81,89
466,Carrie Hernandez,F,11th,Huang High School,86,92
467,Mr. Travis Young,M,10th,Huang High School,81,61
468,Francis Wright,M,12th,Huang High School,63,92
469,Joel Harper,M,9th,Huang High School,99,94
470,Eduardo Park,M,9th,Huang High School,67,62
471,Melissa Yoder,F,10th,Huang High School,95,74
472,Donna Campbell,F,9th,Huang High School,82,64
473,Connie Delacruz,F,9th,Huang High School,64,58
474,Luis Parker,M,9th,Huang High School,89,95
475,Pamela Watts,F,11th,Huang High School,82,58
476,Lindsey Mitchell,F,10th,Huang High School,72,89
477,Brenda Price,F,10th,Huang High School,79,75
478,Joseph Howard,M,10th,Huang High School,90,61
479,Amy Evans,F,10th,Huang High School,92,73
480,Paula Fernandez DVM,F,9th,Huang High School,69,96
481,Amber Cunningham,F,11th,Huang High School,97,86
482,Preston Wheeler,M,10th,Huang High School,65,56
483,James Lopez,M,9th,Huang High School,68,89
484,Chad Drake,M,11th,Huang High School,67,99
485,Samuel Blackburn,M,11th,Huang High School,73,96
486,Shawn Nielsen,M,9th,Huang High School,86,81
487,Eric Perez,M,10th,Huang High School,83,67
488,Kevin Montgomery,M,12th,Huang High School,67,81
489,Terry Thomas,M,9th,Huang High School,88,65
490,Kim Meyer,F,9th,Huang High School,92,66
491,Michael Townsend,M,10th,Huang High School,95,78
492,Ronnie Rodriguez,M,10th,Huang High School,71,79
493,Savannah Smith,F,10th,Huang High School,95,79
494,Shane Nguyen,M,10th,Huang High School,74,65
495,Michael Brown,M,12th,Huang High School,99,71
496,Robert Young,M,9th,Huang High School,70,72
497,Daniel Griffin,M,9th,Huang High School,74,98
498,James Johnson,M,11th,Huang High School,73,80
499,Mary Cox,F,10th,Huang High School,97,79
500,Tina Aguirre,F,10th,Huang High School,86,90
501,Jillian Mcdonald,F,9th,Huang High School,64,70
502,Matthew Branch,M,10th,Huang High School,71,89
503,Christopher Jordan,M,11th,Huang High School,78,84
504,Victor Mcguire,M,11th,Huang High School,93,94
505,Erin Arnold,F,10th,Huang High School,96,78
506,Nicholas Wu,M,10th,Huang High School,85,74
507,Kristen Wilson,F,12th,Huang High School,72,89
508,Morgan Moore,F,10th,Huang High School,63,84
509,Stephen Smith,M,9th,Huang High School,90,90
510,Jeremy Romero,M,10th,Huang High School,76,58
511,Julie Bush,F,9th,Huang High School,96,97
512,Brittany Taylor,F,11th,Huang High School,81,58
513,James Kim,M,10th,Huang High School,89,70
514,Ashley Roberts,F,10th,Huang High School,93,66
515,Brandon Johnson,M,10th,Huang High School,80,74
516,David Davenport,M,12th,Huang High School,89,61
517,Mark Washington,M,9th,Huang High School,84,78
518,Alicia Marshall,F,9th,Huang High School,97,84
519,Barbara Santana,F,12th,Huang High School,90,69
520,Samantha Parker,F,10th,Huang High School,88,72
521,Joseph Walters,M,11th,Huang High School,82,76
522,Michael Zamora,M,11th,Huang High School,96,94
523,Kyle Cobb,M,11th,Huang High School,72,87
524,Jill Clark,F,10th,Huang High School,76,92
525,Sarah Warren,F,11th,Huang High School,93,91
526,Jennifer Robinson,F,10th,Huang High School,89,85
527,Patricia Johnson,F,11th,Huang High School,79,68
528,Henry Evans,M,10th,Huang High School,68,88
529,Alexander Ramsey,M,10th,Huang High School,63,90
530,Brandon Stephens,M,10th,Huang High School,89,94
531,Jeff Holland,M,9th,Huang High School,72,79
532,Samuel Schultz,M,10th,Huang High School,93,93
533,Brett Johnson,M,11th,Huang High School,66,72
534,Daniel Sherman,M,12th,Huang High School,64,63
535,Justin Mccall,M,11th,Huang High School,81,56
536,Jonathan Evans,M,9th,Huang High School,99,83
537,Jacqueline Kennedy,F,11th,Huang High School,63,69
538,Martin Stephenson,M,10th,Huang High School,96,63
539,Lindsey Lane,F,9th,Huang High School,90,81
540,Jessica Hart,F,10th,Huang High School,95,98
541,Edward Lucas,M,10th,Huang High School,76,98
542,Lisa Osborne,F,9th,Huang High School,86,69
543,Hannah Black,F,9th,Huang High School,80,94
544,Alexander Paul,M,9th,Huang High School,72,65
545,Brenda Wong,F,12th,Huang High School,63,78
546,Thomas Delgado,M,12th,Huang High School,86,80
